Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000144331	151126	ZNF385B	protein_coding	HGNC Symbol	13	zinc finger protein 385B [Source:HGNC Symbol;Acc:HGNC:26332]	-0.35	-0.90	0.20	0.20	0.45	2.05	1.07	3.04	0.00	0.00	-3.29	-4.28	-2.31	0.00	0.00	-0.89	-1.44	-0.34	0.00	0.00	
ENSG00000144339	23671	TMEFF2	protein_coding	HGNC Symbol	4	transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]	-1.65	-2.56	-0.73	0.00	0.01	-0.13	-1.22	0.96	0.81	0.87	-1.35	-2.41	-0.28	0.02	0.03	0.17	-0.77	1.11	0.71	0.75	
ENSG00000144354	83879	CDCA7	protein_coding	HGNC Symbol	8	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	0.05	-0.11	0.21	0.54	0.76	0.35	0.19	0.52	0.00	0.00	-0.70	-0.89	-0.52	0.00	0.00	-0.40	-0.53	-0.27	0.00	0.00	
ENSG00000144357	130507	UBR3	protein_coding	HGNC Symbol	11	ubiquitin protein ligase E3 component n-recognin 3 (putative) [Source:HGNC Symbol;Acc:HGNC:30467]	0.09	-0.11	0.29	0.35	0.61	0.01	-0.19	0.22	0.90	0.94	-0.17	-0.41	0.06	0.13	0.18	-0.25	-0.42	-0.09	0.00	0.01	
ENSG00000144362	493911	PHOSPHO2	protein_coding	HGNC Symbol	8	"phosphatase, orphan 2 [Source:HGNC Symbol;Acc:HGNC:28316]"	0.35	0.01	0.69	0.05	0.19	-0.07	-0.37	0.24	0.65	0.75	0.66	0.28	1.04	0.00	0.00	0.24	-0.02	0.51	0.07	0.09	
ENSG00000144366	51454	GULP1	protein_coding	HGNC Symbol	18	"GULP, engulfment adaptor PTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18649]"	-0.12	-0.40	0.17	0.40	0.65	-0.18	-0.50	0.13	0.25	0.37	-1.28	-1.62	-0.93	0.00	0.00	-1.34	-1.59	-1.09	0.00	0.00	
ENSG00000144369	165215	FAM171B	protein_coding	HGNC Symbol	2	family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]	-0.08	-0.38	0.23	0.62	0.81	-0.51	-0.84	-0.19	0.00	0.01	-0.49	-0.85	-0.13	0.01	0.02	-0.93	-1.20	-0.66	0.00	0.00	
ENSG00000144381	3329	HSPD1	protein_coding	HGNC Symbol	14	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	-0.18	-0.34	-0.02	0.03	0.13	-0.09	-0.25	0.07	0.25	0.37	-1.04	-1.22	-0.85	0.00	0.00	-0.95	-1.08	-0.81	0.00	0.00	
ENSG00000144395	284992	CCDC150	protein_coding	HGNC Symbol	19	coiled-coil domain containing 150 [Source:HGNC Symbol;Acc:HGNC:26834]	-0.10	-0.41	0.21	0.52	0.75	0.06	-0.26	0.38	0.71	0.80	-0.21	-0.57	0.15	0.24	0.30	-0.05	-0.32	0.21	0.67	0.72	
ENSG00000144401	151194	METTL21A	protein_coding	HGNC Symbol	13	methyltransferase like 21A [Source:HGNC Symbol;Acc:HGNC:30476]	-0.25	-0.39	-0.11	0.00	0.01	-0.18	-0.34	-0.03	0.02	0.05	-0.60	-0.76	-0.43	0.00	0.00	-0.53	-0.65	-0.40	0.00	0.00	
ENSG00000144406	285175	UNC80	protein_coding	HGNC Symbol	8	"unc-80 homolog, NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:26582]"	0.72	-0.06	1.49	0.07	0.24	-0.19	-0.53	0.15	0.26	0.38	3.96	3.25	4.68	0.00	0.00	3.06	2.61	3.50	0.00	0.00	
ENSG00000144410	130749	CPO	protein_coding	HGNC Symbol	1	carboxypeptidase O [Source:HGNC Symbol;Acc:HGNC:21011]	-1.18	-2.00	-0.35	0.01	0.05	0.43	-1.15	2.01	0.58	0.69	-3.76	-5.19	-2.33	0.00	0.00	-2.16	-3.22	-1.09	0.00	0.00	
ENSG00000144426	65065	NBEAL1	protein_coding	HGNC Symbol	10	neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]	-0.20	-0.45	0.04	0.10	0.31	0.79	0.53	1.06	0.00	0.00	-0.67	-0.97	-0.37	0.00	0.00	0.33	0.12	0.53	0.00	0.01	
ENSG00000144445	151050	KANSL1L	protein_coding	HGNC Symbol	11	KAT8 regulatory NSL complex subunit 1 like [Source:HGNC Symbol;Acc:HGNC:26310]	0.23	0.05	0.42	0.01	0.08	0.01	-0.16	0.18	0.92	0.94	0.72	0.52	0.92	0.00	0.00	0.49	0.35	0.64	0.00	0.00	
ENSG00000144451	79582	SPAG16	protein_coding	HGNC Symbol	12	sperm associated antigen 16 [Source:HGNC Symbol;Acc:HGNC:23225]	-0.15	-0.34	0.05	0.13	0.35	-0.29	-0.47	-0.12	0.00	0.01	0.66	0.45	0.87	0.00	0.00	0.52	0.36	0.67	0.00	0.00	
ENSG00000144455	285362	SUMF1	protein_coding	HGNC Symbol	8	sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]	0.31	0.03	0.58	0.03	0.14	-0.72	-0.97	-0.47	0.00	0.00	1.02	0.72	1.31	0.00	0.00	-0.01	-0.24	0.21	0.90	0.91	
ENSG00000144455	100130207	SUMF1	protein_coding	HGNC Symbol	8	sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]	0.31	0.03	0.58	0.03	0.14	-0.72	-0.97	-0.47	0.00	0.00	1.02	0.72	1.31	0.00	0.00	-0.01	-0.24	0.21	0.90	0.91	
ENSG00000144468	84236	RHBDD1	protein_coding	HGNC Symbol	15	rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]	0.19	0.03	0.35	0.02	0.12	0.37	0.21	0.52	0.00	0.00	0.22	0.03	0.40	0.02	0.04	0.39	0.26	0.52	0.00	0.00	
ENSG00000144476	57007	ACKR3	protein_coding	HGNC Symbol	2	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	1.17	0.23	2.12	0.02	0.09	0.85	0.36	1.34	0.00	0.01	2.98	2.06	3.91	0.00	0.00	2.66	2.14	3.17	0.00	0.00	
ENSG00000144481	79054	TRPM8	protein_coding	HGNC Symbol	14	transient receptor potential cation channel subfamily M member 8 [Source:HGNC Symbol;Acc:HGNC:17961]	0.42	-1.05	1.90	0.56	0.78	-1.26	-1.75	-0.78	0.00	0.00	5.82	4.54	7.11	0.00	0.00	4.14	3.26	5.01	0.00	0.00	
ENSG00000144485	55502	HES6	protein_coding	HGNC Symbol	9	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	-0.51	-0.81	-0.21	0.00	0.02	0.38	0.04	0.72	0.03	0.06	-1.51	-1.88	-1.15	0.00	0.00	-0.62	-0.88	-0.35	0.00	0.00	
ENSG00000144488	339768	ESPNL	protein_coding	HGNC Symbol	6	espin like [Source:HGNC Symbol;Acc:HGNC:27937]	-0.02	-0.32	0.29	0.91	0.96	-0.21	-0.53	0.11	0.19	0.30	-0.09	-0.44	0.27	0.62	0.68	-0.28	-0.55	-0.01	0.04	0.06	
ENSG00000144504	51281	ANKMY1	protein_coding	HGNC Symbol	24	ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]	-0.95	-1.25	-0.64	0.00	0.00	-0.56	-0.82	-0.31	0.00	0.00	0.79	0.49	1.09	0.00	0.00	1.17	0.91	1.43	0.00	0.00	
ENSG00000144524	64708	COPS7B	protein_coding	HGNC Symbol	25	COP9 signalosome subunit 7B [Source:HGNC Symbol;Acc:HGNC:16760]	-0.08	-0.23	0.07	0.31	0.57	0.03	-0.13	0.19	0.69	0.78	-0.38	-0.55	-0.20	0.00	0.00	-0.27	-0.40	-0.14	0.00	0.00	
ENSG00000144535	129563	DIS3L2	protein_coding	HGNC Symbol	16	DIS3 like 3'-5' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:28648]	0.05	-0.10	0.19	0.53	0.75	0.12	-0.03	0.26	0.10	0.18	0.30	0.14	0.47	0.00	0.00	0.37	0.25	0.49	0.00	0.00	
ENSG00000144550	151835	CPNE9	protein_coding	HGNC Symbol	5	copine family member 9 [Source:HGNC Symbol;Acc:HGNC:24336]	-0.18	-0.52	0.15	0.27	0.53	-0.16	-0.91	0.58	0.65	0.75	-3.38	-4.02	-2.73	0.00	0.00	-3.36	-3.85	-2.86	0.00	0.00	
ENSG00000144554	2177	FANCD2	protein_coding	HGNC Symbol	13	Fanconi anemia complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]	0.09	-0.07	0.26	0.25	0.51	-0.12	-0.29	0.05	0.16	0.25	0.10	-0.09	0.29	0.29	0.36	-0.11	-0.25	0.03	0.11	0.14	
ENSG00000144559	132001	TAMM41	protein_coding	HGNC Symbol	12	TAM41 mitochondrial translocator assembly and maintenance homolog [Source:HGNC Symbol;Acc:HGNC:25187]	0.02	-0.32	0.36	0.92	0.97	-0.35	-0.68	-0.02	0.04	0.09	0.35	-0.03	0.73	0.07	0.10	-0.01	-0.30	0.27	0.93	0.95	
ENSG00000144560	9686	VGLL4	protein_coding	HGNC Symbol	19	vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]	-0.07	-0.26	0.13	0.49	0.73	0.48	0.29	0.67	0.00	0.00	0.45	0.23	0.67	0.00	0.00	0.99	0.83	1.15	0.00	0.00	
ENSG00000144566	5868	RAB5A	protein_coding	HGNC Symbol	8	"RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]"	0.02	-0.17	0.20	0.86	0.94	-0.34	-0.53	-0.15	0.00	0.00	-0.28	-0.49	-0.07	0.01	0.02	-0.64	-0.80	-0.48	0.00	0.00	
ENSG00000144567	79137	RETREG2	protein_coding	HGNC Symbol	10	reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]	-0.14	-0.35	0.08	0.20	0.45	-0.04	-0.26	0.17	0.68	0.77	0.65	0.40	0.89	0.00	0.00	0.74	0.56	0.92	0.00	0.00	
ENSG00000144579	58190	CTDSP1	protein_coding	HGNC Symbol	15	CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]	0.49	0.29	0.69	0.00	0.00	-0.02	-0.19	0.15	0.82	0.88	1.59	1.37	1.80	0.00	0.00	1.08	0.93	1.23	0.00	0.00	
ENSG00000144580	9125	CNOT9	protein_coding	HGNC Symbol	9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	0.09	-0.07	0.24	0.26	0.52	0.26	0.10	0.42	0.00	0.01	0.14	-0.04	0.32	0.12	0.16	0.31	0.18	0.44	0.00	0.00	
ENSG00000144583	57574	4-Mar	protein_coding	HGNC Symbol	1	membrane associated ring-CH-type finger 4 [Source:HGNC Symbol;Acc:HGNC:29269]	1.42	0.60	2.24	0.00	0.02	-0.91	-1.38	-0.44	0.00	0.00	3.33	2.52	4.14	0.00	0.00	1.00	0.51	1.49	0.00	0.00	
ENSG00000144589	114790	STK11IP	protein_coding	HGNC Symbol	14	serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:HGNC:19184]	-0.10	-0.29	0.09	0.31	0.57	0.00	-0.19	0.20	0.96	0.98	-0.17	-0.39	0.05	0.12	0.17	-0.07	-0.23	0.09	0.37	0.42	
ENSG00000144591	29926	GMPPA	protein_coding	HGNC Symbol	14	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	-0.45	-0.59	-0.30	0.00	0.00	-0.09	-0.26	0.08	0.27	0.39	-1.05	-1.22	-0.87	0.00	0.00	-0.69	-0.82	-0.56	0.00	0.00	
ENSG00000144596	80852	GRIP2	protein_coding	HGNC Symbol	7	glutamate receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23841]	-0.94	-1.38	-0.50	0.00	0.00	-0.12	-0.99	0.74	0.77	0.84	-3.39	-4.15	-2.63	0.00	0.00	-2.58	-3.18	-1.98	0.00	0.00	
ENSG00000144597	85403	EAF1	protein_coding	HGNC Symbol	3	ELL associated factor 1 [Source:HGNC Symbol;Acc:HGNC:20907]	-0.17	-0.31	-0.03	0.02	0.11	-0.17	-0.31	-0.03	0.02	0.05	0.19	0.02	0.35	0.03	0.04	0.19	0.07	0.31	0.00	0.01	
ENSG00000144619	152330	CNTN4	protein_coding	HGNC Symbol	17	contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]	0.81	0.27	1.34	0.00	0.04	0.31	-0.07	0.70	0.11	0.19	1.61	1.05	2.17	0.00	0.00	1.12	0.77	1.47	0.00	0.00	
ENSG00000144635	51143	DYNC1LI1	protein_coding	HGNC Symbol	8	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	-0.04	-0.16	0.09	0.53	0.75	0.17	0.04	0.30	0.01	0.03	-0.10	-0.24	0.04	0.17	0.22	0.11	0.00	0.21	0.04	0.06	
ENSG00000144642	27303	RBMS3	protein_coding	HGNC Symbol	20	RNA binding motif single stranded interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:13427]	-1.29	-1.80	-0.79	0.00	0.00	0.83	0.12	1.54	0.02	0.06	-2.27	-2.98	-1.57	0.00	0.00	-0.15	-0.66	0.36	0.55	0.60	
ENSG00000144645	114884	OSBPL10	protein_coding	HGNC Symbol	18	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	-0.27	-0.50	-0.03	0.03	0.13	0.09	-0.22	0.40	0.55	0.67	-2.24	-2.55	-1.93	0.00	0.00	-1.89	-2.11	-1.66	0.00	0.00	
ENSG00000144647	84892	POMGNT2	protein_coding	HGNC Symbol	2	"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) [Source:HGNC Symbol;Acc:HGNC:25902]"	0.09	-0.07	0.25	0.25	0.51	0.10	-0.06	0.25	0.21	0.32	0.33	0.15	0.51	0.00	0.00	0.33	0.21	0.46	0.00	0.00	
ENSG00000144649	729085	FAM198A	protein_coding	HGNC Symbol	5	family with sequence similarity 198 member A [Source:HGNC Symbol;Acc:HGNC:24485]	0.14	-0.22	0.49	0.44	0.69	0.62	0.26	0.97	0.00	0.01	-0.13	-0.55	0.29	0.53	0.60	0.35	0.07	0.63	0.02	0.02	
ENSG00000144655	64651	CSRNP1	protein_coding	HGNC Symbol	2	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]	-0.04	-0.37	0.30	0.83	0.93	-0.01	-0.40	0.39	0.96	0.98	-0.68	-1.10	-0.27	0.00	0.00	-0.66	-0.96	-0.35	0.00	0.00	
ENSG00000144659	54977	SLC25A38	protein_coding	HGNC Symbol	2	solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]	-0.08	-0.26	0.10	0.38	0.63	-0.46	-0.66	-0.26	0.00	0.00	-0.39	-0.60	-0.18	0.00	0.00	-0.77	-0.93	-0.60	0.00	0.00	
ENSG00000144668	3680	ITGA9	protein_coding	HGNC Symbol	4	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	-0.76	-1.12	-0.39	0.00	0.00	0.06	-0.33	0.45	0.76	0.83	-0.52	-0.94	-0.10	0.02	0.03	0.29	-0.03	0.62	0.08	0.10	
ENSG00000144674	2803	GOLGA4	protein_coding	HGNC Symbol	12	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	-0.24	-0.47	-0.01	0.04	0.18	-0.01	-0.24	0.23	0.94	0.96	-0.93	-1.20	-0.67	0.00	0.00	-0.70	-0.90	-0.51	0.00	0.00	
ENSG00000144677	10217	CTDSPL	protein_coding	HGNC Symbol	8	CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]	0.27	0.04	0.50	0.02	0.11	-0.04	-0.27	0.18	0.69	0.78	0.47	0.21	0.73	0.00	0.00	0.16	-0.03	0.35	0.09	0.12	
ENSG00000144681	6769	STAC	protein_coding	HGNC Symbol	8	SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]	0.32	-0.15	0.80	0.17	0.41	3.44	2.69	4.19	0.00	0.00	-2.69	-3.50	-1.87	0.00	0.00	0.43	0.07	0.79	0.02	0.03	
ENSG00000144711	9922	IQSEC1	protein_coding	HGNC Symbol	5	IQ motif and Sec7 domain 1 [Source:HGNC Symbol;Acc:HGNC:29112]	0.02	-0.25	0.29	0.89	0.96	0.09	-0.20	0.38	0.54	0.66	-0.59	-0.91	-0.27	0.00	0.00	-0.52	-0.75	-0.29	0.00	0.00	
ENSG00000144712	23066	CAND2	protein_coding	HGNC Symbol	6	cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	0.17	-0.09	0.42	0.18	0.43	0.08	-0.23	0.38	0.61	0.71	-0.83	-1.15	-0.50	0.00	0.00	-0.92	-1.15	-0.69	0.00	0.00	
ENSG00000144713	6161	RPL32	protein_coding	HGNC Symbol	8	ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:10336]	-0.12	-0.43	0.20	0.46	0.70	-0.74	-1.06	-0.41	0.00	0.00	0.54	0.18	0.91	0.01	0.01	-0.08	-0.35	0.19	0.55	0.60	
ENSG00000144724	5793	PTPRG	protein_coding	HGNC Symbol	7	"protein tyrosine phosphatase, receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]"	0.28	-0.04	0.60	0.08	0.27	-0.80	-1.13	-0.47	0.00	0.00	0.03	-0.34	0.40	0.87	0.90	-1.05	-1.32	-0.78	0.00	0.00	
ENSG00000144730	54756	IL17RD	protein_coding	HGNC Symbol	8	interleukin 17 receptor D [Source:HGNC Symbol;Acc:HGNC:17616]	0.07	-0.49	0.62	0.81	0.92	-1.66	-2.25	-1.08	0.00	0.00	0.17	-0.47	0.82	0.59	0.65	-1.56	-2.04	-1.07	0.00	0.00	
ENSG00000144736	55164	SHQ1	protein_coding	HGNC Symbol	8	"SHQ1, H/ACA ribonucleoprotein assembly factor [Source:HGNC Symbol;Acc:HGNC:25543]"	-0.04	-0.19	0.12	0.65	0.83	-0.08	-0.24	0.09	0.35	0.47	-0.22	-0.40	-0.04	0.02	0.04	-0.26	-0.40	-0.13	0.00	0.00	
ENSG00000144741	115286	SLC25A26	protein_coding	HGNC Symbol	6	solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661]	-0.12	-0.32	0.07	0.20	0.44	-0.34	-0.54	-0.14	0.00	0.01	-0.02	-0.24	0.20	0.86	0.89	-0.23	-0.40	-0.07	0.01	0.01	
ENSG00000144744	9039	UBA3	protein_coding	HGNC Symbol	13	ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]	0.02	-0.14	0.19	0.78	0.91	-0.02	-0.19	0.15	0.78	0.85	-0.03	-0.23	0.16	0.72	0.77	-0.08	-0.22	0.06	0.25	0.30	
ENSG00000144746	10550	ARL6IP5	protein_coding	HGNC Symbol	5	ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]	0.22	-0.11	0.54	0.18	0.42	0.00	-0.33	0.33	0.98	0.99	0.04	-0.34	0.41	0.83	0.87	-0.18	-0.45	0.09	0.18	0.22	
ENSG00000144747	7110	TMF1	protein_coding	HGNC Symbol	4	TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:11870]	-0.09	-0.26	0.08	0.28	0.54	0.09	-0.08	0.26	0.29	0.41	0.00	-0.20	0.19	0.96	0.97	0.17	0.03	0.32	0.02	0.02	
ENSG00000144749	26018	LRIG1	protein_coding	HGNC Symbol	9	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	0.34	0.08	0.60	0.01	0.08	-0.23	-0.50	0.04	0.09	0.17	0.25	-0.06	0.55	0.11	0.15	-0.32	-0.54	-0.10	0.01	0.01	
ENSG00000144791	8994	LIMD1	protein_coding	HGNC Symbol	4	LIM domains containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]	-0.20	-0.41	0.00	0.05	0.21	0.36	0.15	0.58	0.00	0.01	-0.53	-0.77	-0.28	0.00	0.00	0.04	-0.13	0.22	0.64	0.69	
ENSG00000144792	285349	ZNF660	protein_coding	HGNC Symbol	4	zinc finger protein 660 [Source:HGNC Symbol;Acc:HGNC:26720]	0.23	-0.13	0.59	0.20	0.44	-0.21	-0.50	0.08	0.16	0.26	1.66	1.28	2.04	0.00	0.00	1.22	0.95	1.49	0.00	0.00	
ENSG00000144802	64332	NFKBIZ	protein_coding	HGNC Symbol	11	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	-0.16	-0.39	0.07	0.16	0.39	0.69	0.43	0.95	0.00	0.00	-0.76	-1.05	-0.48	0.00	0.00	0.09	-0.10	0.29	0.34	0.39	
ENSG00000144810	1295	COL8A1	protein_coding	HGNC Symbol	8	collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]	1.38	0.20	2.56	0.02	0.12	2.79	0.94	4.63	0.00	0.01	-2.15	-4.17	-0.14	0.04	0.06	-0.74	-1.61	0.12	0.09	0.12	
ENSG00000144815	91775	NXPE3	protein_coding	HGNC Symbol	7	neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238]	0.17	-0.03	0.38	0.10	0.30	0.72	0.47	0.97	0.00	0.00	-0.92	-1.19	-0.65	0.00	0.00	-0.37	-0.55	-0.20	0.00	0.00	
ENSG00000144821	22989	MYH15	protein_coding	HGNC Symbol	3	myosin heavy chain 15 [Source:HGNC Symbol;Acc:HGNC:31073]	0.12	-1.28	1.51	0.87	0.95	1.39	0.56	2.22	0.00	0.01	1.94	0.58	3.30	0.01	0.01	3.22	2.33	4.10	0.00	0.00	
ENSG00000144824	90102	PHLDB2	protein_coding	HGNC Symbol	18	pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]	0.02	-0.26	0.30	0.89	0.96	-0.35	-0.62	-0.07	0.02	0.04	0.52	0.20	0.83	0.00	0.01	0.15	-0.08	0.38	0.19	0.24	
ENSG00000144827	55347	ABHD10	protein_coding	HGNC Symbol	5	abhydrolase domain containing 10 [Source:HGNC Symbol;Acc:HGNC:25656]	0.12	-0.07	0.31	0.21	0.45	0.50	0.31	0.69	0.00	0.00	0.06	-0.16	0.28	0.60	0.67	0.43	0.28	0.59	0.00	0.00	
ENSG00000144834	29114	TAGLN3	protein_coding	HGNC Symbol	7	transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]	0.51	-0.12	1.14	0.11	0.31	2.62	2.16	3.07	0.00	0.00	1.14	0.47	1.81	0.00	0.00	3.24	2.85	3.63	0.00	0.00	
ENSG00000144840	285282	RABL3	protein_coding	HGNC Symbol	8	"RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]"	-0.12	-0.29	0.06	0.20	0.44	-0.20	-0.38	-0.02	0.03	0.07	0.07	-0.14	0.27	0.50	0.57	-0.02	-0.17	0.14	0.83	0.86	
ENSG00000144843	141	ADPRH	protein_coding	HGNC Symbol	7	ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]	0.57	0.30	0.83	0.00	0.00	0.01	-0.28	0.31	0.93	0.95	-0.24	-0.56	0.09	0.14	0.19	-0.79	-1.02	-0.57	0.00	0.00	
ENSG00000144847	152404	IGSF11	protein_coding	HGNC Symbol	10	immunoglobulin superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:16669]	0.51	-0.08	1.10	0.09	0.28	1.19	0.69	1.69	0.00	0.00	0.63	-0.03	1.29	0.06	0.09	1.31	0.90	1.71	0.00	0.00	
ENSG00000144848	64422	ATG3	protein_coding	HGNC Symbol	9	autophagy related 3 [Source:HGNC Symbol;Acc:HGNC:20962]	-0.31	-0.52	-0.11	0.00	0.04	0.24	0.02	0.46	0.03	0.07	-0.63	-0.87	-0.38	0.00	0.00	-0.07	-0.25	0.10	0.40	0.45	
ENSG00000144852	8856	NR1I2	protein_coding	HGNC Symbol	7	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	1.46	0.91	2.00	0.00	0.00	1.41	0.49	2.33	0.00	0.01	-2.42	-3.35	-1.48	0.00	0.00	-2.46	-2.98	-1.95	0.00	0.00	
ENSG00000144857	91653	BOC	protein_coding	HGNC Symbol	17	"BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]"	0.99	0.40	1.58	0.00	0.02	-0.12	-0.46	0.21	0.45	0.57	5.28	4.70	5.86	0.00	0.00	4.17	3.81	4.52	0.00	0.00	
ENSG00000144867	58477	SRPRB	protein_coding	HGNC Symbol	5	SRP receptor beta subunit [Source:HGNC Symbol;Acc:HGNC:24085]	-0.14	-0.41	0.13	0.31	0.57	0.14	-0.13	0.41	0.31	0.43	0.00	-0.31	0.31	0.99	0.99	0.28	0.05	0.50	0.02	0.03	
ENSG00000144868	66000	TMEM108	protein_coding	HGNC Symbol	11	transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]	0.46	0.24	0.69	0.00	0.00	0.68	0.43	0.94	0.00	0.00	-0.61	-0.90	-0.33	0.00	0.00	-0.39	-0.58	-0.21	0.00	0.00	
ENSG00000144893	116931	MED12L	protein_coding	HGNC Symbol	9	mediator complex subunit 12 like [Source:HGNC Symbol;Acc:HGNC:16050]	-0.24	-0.53	0.05	0.10	0.29	-0.64	-0.97	-0.32	0.00	0.00	-0.61	-0.96	-0.27	0.00	0.00	-1.01	-1.28	-0.74	0.00	0.00	
ENSG00000144895	83939	EIF2A	protein_coding	HGNC Symbol	16	eukaryotic translation initiation factor 2A [Source:HGNC Symbol;Acc:HGNC:3254]	-0.06	-0.21	0.09	0.43	0.68	-0.24	-0.40	-0.08	0.00	0.01	-0.49	-0.67	-0.32	0.00	0.00	-0.68	-0.81	-0.55	0.00	0.00	
ENSG00000144908	10840	ALDH1L1	protein_coding	HGNC Symbol	18	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	0.68	0.26	1.11	0.00	0.02	-1.37	-2.09	-0.64	0.00	0.00	-1.46	-2.08	-0.84	0.00	0.00	-3.51	-4.07	-2.95	0.00	0.00	
ENSG00000144909	114885	OSBPL11	protein_coding	HGNC Symbol	1	oxysterol binding protein like 11 [Source:HGNC Symbol;Acc:HGNC:16397]	0.10	-0.04	0.25	0.16	0.39	0.00	-0.14	0.15	0.95	0.97	0.14	-0.03	0.31	0.10	0.14	0.04	-0.08	0.17	0.48	0.53	
